"","Año","Area","Street"
"253",2011,"Birmingham","little aston lane"
"254",2011,"Birmingham","longford road"
"255",2011,"Birmingham","longford road kingstanding b'ham"
"256",2011,"Birmingham","lower parade"
"257",2011,"Birmingham","lower parade sc"
"258",2011,"Birmingham","lower parade sutton"
"259",2011,"Birmingham","lower parade sutton coldfield"
"260",2011,"Birmingham","lower parade suton coldfield"
"261",2011,"Birmingham","lower parade sutton coldfield town centre"
"262",2011,"Birmingham","lydham close"
"263",2011,"Birmingham","mill street"
"264",2011,"Birmingham","mill street sutton coldfield"
"265",2011,"Birmingham","moor hall hotel"
"266",2011,"Birmingham","mulberry court carpark kings road kingstanding birmingham"
"267",2011,"Birmingham","newhall walk car park"
"268",2011,"Birmingham","o/s h/a"
"269",2011,"Birmingham","o/s litten tree"
"270",2011,"Birmingham","o/s litten tree s/c town centre"
"271",2011,"Birmingham","o/s moomoo bar s/c town centre"
"272",2011,"Birmingham","o/s moomoo bar south parade"
"273",2011,"Birmingham","o/s retro"
"274",2011,"Birmingham","o/s retro  south parade"
"275",2011,"Birmingham","o/s retros"
"276",2011,"Birmingham","o/s royal hotel lichfield road"
"277",2011,"Birmingham","o/s temple bar"
"278",2011,"Birmingham","o/s temple bar high street"
"279",2011,"Birmingham","o/s temple bar lower parade sutton coldfield"
"280",2011,"Birmingham","o/s temple bar s/c town centre"
"281",2011,"Birmingham","o/s temple bar sutton coldfield west milands"
"282",2011,"Birmingham","o/s the hairy lemon"
"283",2011,"Birmingham","on pavement outside the royal hotel"
"284",2011,"Birmingham","ourtside royal pub lichfield road sutton coldfield"
"285",2011,"Birmingham","outside glendale tower lyndhurst estate"
"286",2011,"Birmingham","outside litten tree pub birmingham road sutton coldfield`"
"287",2011,"Birmingham","outside moo moo club town centre sutton coldfield"
"288",2011,"Birmingham","outside moo moo night club south parade"
"289",2011,"Birmingham","outside temple parade lower parade"
"290",2011,"Birmingham","outside the temple bar lower parade sc"
"291",2011,"Birmingham","parade . sutton coldfield"
"292",2011,"Birmingham","parade sc"
"293",2011,"Birmingham","parade sutton coldfield"
"294",2011,"Birmingham","parade sutton town"
"295",2011,"Birmingham","parade sutton town centre"
"296",2011,"Birmingham","parkeston crescent kinsgatnding b'ham"
"297",2011,"Birmingham","plants grove erdington"
"298",2011,"Birmingham","pype hayes road pype hayes b'ham"
"299",2011,"Birmingham","queen street"
"300",2011,"Birmingham","queen street sutton coldfield town centre"
"301",2011,"Birmingham","queslett road east"
"302",2011,"Birmingham","redacre rd boldmere"
"303",2011,"Birmingham","reservoir road"
"304",2011,"Birmingham","ridgeway"
"305",2011,"Birmingham","slade road erdington b'ham"
"306",2011,"Birmingham","soth parade sutton coldfield"
"307",2011,"Birmingham","south parade"
"308",2011,"Birmingham","south parade û town centre sutton coldfield"
"309",2011,"Birmingham","south parade sutton coldfield"
"310",2011,"Birmingham","south parade sutton town centre"
"311",2011,"Birmingham","south parade town centre sutton coldfield"
"312",2011,"Birmingham","stornaway road castle vale"
"313",2011,"Birmingham","streetley road erdington"
"314",2011,"Birmingham","sumburgh croft"
"315",2011,"Birmingham","sutton coldfield town centre"
"316",2011,"Birmingham","sutton new road"
"317",2011,"Birmingham","sutton new road erdington"
"318",2011,"Birmingham","sutton new road erdington b'ham"
"319",2011,"Birmingham","sutton parade"
"320",2011,"Birmingham","sutton town centre"
"321",2011,"Birmingham","tedbury crescent"
"322",2011,"Birmingham","tesco's express walsall road four oaks sutton coldfield"
"323",2011,"Birmingham","the parade"
"324",2011,"Birmingham","the parade sutton"
"325",2011,"Birmingham","the parade sutton coldfield"
"326",2011,"Birmingham","the parade birmingham road sutton coldfield"
"327",2011,"Birmingham","the parade sutton town centre"
"328",2011,"Birmingham","the ridgeway"
"329",2011,"Birmingham","the swan ph"
"330",2011,"Birmingham","turnhouse road"
"331",2011,"Birmingham","upper holland road"
"332",2011,"Birmingham","victoria rd"
"333",2011,"Birmingham","walsh drive walmley sutton coldfield"
"334",2011,"Birmingham","warren farm rd"
"335",2011,"Birmingham","warren farm road"
"336",2011,"Birmingham","whitehouse common rd"
"337",2011,"Birmingham","wilton rd"
"338",2011,"Birmingham","windsor house jarvis road erdington"
"339",2011,"Birmingham","witton lodge road"
"340",2011,"Birmingham","witton lodge road erdington"
"341",2011,"Birmingham","york road"
"342",2011,"Birmingham","abdon ave"
"343",2011,"Birmingham","alcester road south"
"344",2011,"Birmingham","alvechurch rd"
"345",2011,"Birmingham","arden road"
"346",2011,"Birmingham","ardencote froad"
"347",2011,"Birmingham","ashley close"
"348",2011,"Birmingham","balti spice bristol rd south"
"349",2011,"Birmingham","barnes hill"
"350",2011,"Birmingham","barrow house"
"351",2011,"Birmingham","birmingham new street"
"352",2011,"Birmingham","birmingham street oldbury"
"353",2011,"Birmingham","blandford road"
"354",2011,"Birmingham","bournbrook road"
"355",2011,"Birmingham","bournville front office"
"356",2011,"Birmingham","bournville lane"
"357",2011,"Birmingham","bournville lane front office"
"358",2011,"Birmingham","bowling green road"
"359",2011,"Birmingham","bristol rd"
"360",2011,"Birmingham","bristol rd selly oak"
"361",2011,"Birmingham","bristol rd south"
"362",2011,"Birmingham","bristol rd sth"
"363",2011,"Birmingham","bristol rd northfield"
"364",2011,"Birmingham","bristol road northfield"
"365",2011,"Birmingham","bristol road selly oak"
"366",2011,"Birmingham","bristol road south northfield"
"367",2011,"Birmingham","bristol road south selly oak"
"368",2011,"Birmingham","broad street city centre"
"369",2011,"Birmingham","brook lane"
"370",2011,"Birmingham","bunburry road"
"371",2011,"Birmingham","burnhill grove weoley castle birmingham"
"372",2011,"Birmingham","car park of bournville lane p/stn"
"373",2011,"Birmingham","chinbrook road billsley"
"374",2011,"Birmingham","church hill nortthfield"
"375",2011,"Birmingham","church road"
"376",2011,"Birmingham","compton road cradley heath"
"377",2011,"Birmingham","costcutters ardern road"
"378",2011,"Birmingham","dawberry road"
"379",2011,"Birmingham","dawlish road"
"380",2011,"Birmingham","dingle club"
"381",2011,"Birmingham","doddington road"
"382",2011,"Birmingham","dog kennel lane"
"383",2011,"Birmingham","dog pool lane"
"384",2011,"Birmingham","downfield drive"
"385",2011,"Birmingham","dudley bus station"
"386",2011,"Birmingham","dwellings lane"
"387",2011,"Birmingham","eafo"
"388",2011,"Birmingham","edgbaston cricket ground"
"389",2011,"Birmingham","edgbaston park road"
"390",2011,"Birmingham","exeter rd / hubert rd"
"391",2011,"Birmingham","fordhouse lane"
"392",2011,"Birmingham","four acres quinton"
"393",2011,"Birmingham","frogmill road frankley"
"394",2011,"Birmingham","genners lane"
"395",2011,"Birmingham","glastonbury road"
"396",2011,"Birmingham","great park rubery"
"397",2011,"Birmingham","griffins brook lane"
"398",2011,"Birmingham","grosvenor shopping centre"
"399",2011,"Birmingham","hagley road"
"400",2011,"Birmingham","hagley road edgbaston"
"401",2011,"Birmingham","hagley road eedgbaston"
"402",2011,"Birmingham","harborne cricket club"
"403",2011,"Birmingham","harborne high st"
"404",2011,"Birmingham","harborne high street"
"405",2011,"Birmingham","harborne park road"
"406",2011,"Birmingham","harborne police station"
"407",2011,"Birmingham","harbourne cricket club"
"408",2011,"Birmingham","hawkesley end"
"409",2011,"Birmingham","hawkesley square"
"410",2011,"Birmingham","hazelwell street"
"411",2011,"Birmingham","heathmill lane digbeth"
"412",2011,"Birmingham","herons wood"
"413",2011,"Birmingham","high st"
"414",2011,"Birmingham","high st harborne"
"415",2011,"Birmingham","high st northfield"
"416",2011,"Birmingham","high street harborne"
"417",2011,"Birmingham","high street harbourne"
"418",2011,"Birmingham","highfdield lane"
"419",2011,"Birmingham","highfield lane"
"420",2011,"Birmingham","highfield lane quinton"
"421",2011,"Birmingham","hoggs lane northfield"
"422",2011,"Birmingham","hollybank road"
"423",2011,"Birmingham","holywood bowl rubery"
"424",2011,"Birmingham","honnington crescent northfield"
"425",2011,"Birmingham","jiggins lane"
"426",2011,"Birmingham","jiggins lane bartley green"
"427",2011,"Birmingham","kembertone road"
"428",2011,"Birmingham","kings norton green"
"429",2011,"Birmingham","leech green rd"
"430",2011,"Birmingham","leith grove"
"431",2011,"Birmingham","long fellow road"
"432",2011,"Birmingham","longbridge lane west heath"
"433",2011,"Birmingham","longham croft"
"434",2011,"Birmingham","lottie road"
"435",2011,"Birmingham","lutley grove"
"436",2011,"Birmingham","malins road harborne"
"437",2011,"Birmingham","manderville house"
"438",2011,"Birmingham","marjoram close hawksley"
"439",2011,"Birmingham","maypole lane"
"440",2011,"Birmingham","merritts hill"
"441",2011,"Birmingham","metchley lane"
"442",2011,"Birmingham","moat road"
"443",2011,"Birmingham","mounbatten house wyndham road"
"444",2011,"Birmingham","new street br"
"445",2011,"Birmingham","new street station"
"446",2011,"Birmingham","nortb worcester golf club"
"447",2011,"Birmingham","north street harborne"
"448",2011,"Birmingham","oakridge road northfield"
"449",2011,"Birmingham","oddingley road"
"450",2011,"Birmingham","oddingley road west heath"
"451",2011,"Birmingham","paradise forum birmingham"
"452",2011,"Birmingham","parsons hill"
"453",2011,"Birmingham","pershore road"
"454",2011,"Birmingham","pershore road south kings norton"
"455",2011,"Birmingham","poole crescent harborne"
"456",2011,"Birmingham","poplar avenue"
"457",2011,"Birmingham","portlands road"
"458",2011,"Birmingham","princethorpe road"
"459",2011,"Birmingham","qe casualty"
"460",2011,"Birmingham","qe hospital"
"461",2011,"Birmingham","quality hotel"
"462",2011,"Birmingham","queen elizabeth hospital"
"463",2011,"Birmingham","raddlebarn road"
"464",2011,"Birmingham","richmond hill road"
"465",2011,"Birmingham","richmond road"
"466",2011,"Birmingham","rose road"
"467",2011,"Birmingham","rose road harborne"
"468",2011,"Birmingham","sainsburys frankley beeches rd northfield"
"469",2011,"Birmingham","selcroft ave"
"470",2011,"Birmingham","shannon rd kings norton"
"471",2011,"Birmingham","shawbrook grove"
"472",2011,"Birmingham","shell forecourt bristol rd"
"473",2011,"Birmingham","sir hiltons road west heath"
"474",2011,"Birmingham","snax 24 forcourt"
"475",2011,"Birmingham","solihull high street"
"476",2011,"Birmingham","solihull high street. outside rosies"
"477",2011,"Birmingham","stanley road quinton"
"478",2011,"Birmingham","stone road edgbaston"
"479",2011,"Birmingham","stonehouse lane"
"480",2011,"Birmingham","stratford road sparkbrook birmingham"
"481",2011,"Birmingham","the fold"
"482",2011,"Birmingham","the fold kings norton"
"483",2011,"Birmingham","the jester ph"
"484",2011,"Birmingham","the parade queensway city  centre"
"485",2011,"Birmingham","the royal oak public house pershore road"
"486",2011,"Birmingham","three horshoes ph"
"487",2011,"Birmingham","three shires oak road"
"488",2011,"Birmingham","three shires road"
"489",2011,"Birmingham","trescotte road"
"490",2011,"Birmingham","turves green"
"491",2011,"Birmingham","unknown"
"492",2011,"Birmingham","valbourne road kings heath"
"493",2011,"Birmingham","vicarage road kings heath"
"494",2011,"Birmingham","vineyard road northfield"
"495",2011,"Birmingham","war lane"
"496",2011,"Birmingham","watford rd cotteridge"
"497",2011,"Birmingham","weolly castle road"
"498",2011,"Birmingham","westminster road"
"499",2011,"Birmingham","wolverhampton street"
"500",2011,"Birmingham","woodhouse road quinton"
"501",2011,"Birmingham","woodmeadow road"
"502",2011,"Birmingham","worlds end lane"
"503",2011,"Birmingham","worlds end lanequinton"
"504",2011,"Birmingham","acardian centre"
"505",2011,"Birmingham","adderley road"
"506",2011,"Birmingham","air night club"
"507",2011,"Birmingham","albert road handsworth birmingham"
"508",2011,"Birmingham","arcadia centre birmingham city centre"
"509",2011,"Birmingham","arcadian"
"510",2011,"Birmingham","arcadian birmingham city centre"
"511",2011,"Birmingham","arcadian center birmingham"
"512",2011,"Birmingham","arcadian centre bham"
"513",2011,"Birmingham","arcadian centre birmingham"
"514",2011,"Birmingham","arcadian centre birmingham city centre"
"515",2011,"Birmingham","arcadian centre ladywell walk"
"516",2011,"Birmingham","arcadian entertainment centre birmingham"
"517",2011,"Birmingham","arcadian city centre"
"518",2011,"Birmingham","arcadian hurst street"
"519",2011,"Birmingham","aston hotel`"
"520",2011,"Birmingham","aston police station"
"521",2011,"Birmingham","aston villa football ground"
"522",2011,"Birmingham","attenborough close"
"523",2011,"Birmingham","away fans coach park  bham cfc"
"524",2011,"Birmingham","away supporters entrance bcfc"
"525",2011,"Birmingham","bar risa"
"526",2011,"Birmingham","bath row birmingham"
"527",2011,"Birmingham","bath streetcity centre"
"528",2011,"Birmingham","bcfc  home fans car aprke"
"529",2011,"Birmingham","bcfc ground"
"530",2011,"Birmingham","bcfc tilton road entrance"
"531",2011,"Birmingham","berkeley street"
"532",2011,"Birmingham","berkley street"
"533",2011,"Birmingham","b'ham new street station"
"534",2011,"Birmingham","big bite broad street"
"535",2011,"Birmingham","bigwok restaurant birmingham"
"536",2011,"Birmingham","birchfield road  perry barr"
"537",2011,"Birmingham","birchfield road birmingham"
"538",2011,"Birmingham","birchfield road city centre"
"539",2011,"Birmingham","birchfiled road"
"540",2011,"Birmingham","birmingham city fc û coach park"
"541",2011,"Birmingham","birmingham magistrates court"
"542",2011,"Birmingham","birmingham new st"
"543",2011,"Birmingham","birmingham new street station"
"544",2011,"Birmingham","bishopgate street @ junction of broad street"
"545",2011,"Birmingham","bishopgate street city centre"
"546",2011,"Birmingham","bishopsgate street"
"547",2011,"Birmingham","bliss bar broad street"
"548",2011,"Birmingham","bliss nightclub broad st birmingham"
"549",2011,"Birmingham","bliss nightclub broad st"
"550",2011,"Birmingham","bliss broad st"
"551",2011,"Birmingham","bordesley green rd"
"552",2011,"Birmingham","bradford st birmingham"
"553",2011,"Birmingham","braod street city centre"
"554",2011,"Birmingham","briar rose ph bennetts hill"
"555",2011,"Birmingham","brighton arms ph"
"556",2011,"Birmingham","bristol road birmingham"
"557",2011,"Birmingham","bristol road edgbaston"
"558",2011,"Birmingham","bristol st birmingham city centre"
"559",2011,"Birmingham","bristol street south"
"560",2011,"Birmingham","brittania hotel"
"561",2011,"Birmingham","broad st"
"562",2011,"Birmingham","broad st @ gas street city centre"
"563",2011,"Birmingham","broad st bham"
"564",2011,"Birmingham","broad st city centre"
"565",2011,"Birmingham","broad st city centre birmingham"
"566",2011,"Birmingham","broad st    bham"
"567",2011,"Birmingham","broad st  bham"
"568",2011,"Birmingham","broad st birmingham"
"569",2011,"Birmingham","broad street  city centre"
"570",2011,"Birmingham","broad street opposite walkabout"
"571",2011,"Birmingham","broad street outside roccocco"
"572",2011,"Birmingham","broad street b'ham"
"573",2011,"Birmingham","broad street city centre birmingham"
"574",2011,"Birmingham","broad streetcity centre"
"575",2011,"Birmingham","broad street. birmingham"
"576",2011,"Birmingham","broad strret"
"577",2011,"Birmingham","broadway plaza ladywood middleway"
"578",2011,"Birmingham","bromsgrove street birmingham"
"579",2011,"Birmingham","brookvale rd witton"
"580",2011,"Birmingham","bull ring"
"581",2011,"Birmingham","bullring city centre"
"582",2011,"Birmingham","burford road kingstanding"
"583",2011,"Birmingham","calshott road great barr"
"584",2011,"Birmingham","camborne close"
"585",2011,"Birmingham","canal side soho loop handsworth"
"586",2011,"Birmingham","car park avfc"
"587",2011,"Birmingham","carrs lane"
"588",2011,"Birmingham","chiswell road"
"589",2011,"Birmingham","church vale road"
"590",2011,"Birmingham","city hospitadudley road"
"591",2011,"Birmingham","city hospital"
"592",2011,"Birmingham","city hospital dudley road"
"593",2011,"Birmingham","city hospital birmingham"
"594",2011,"Birmingham","city road birmingham"
"595",2011,"Birmingham","city tavern"
"596",2011,"Birmingham","city tavern bishopsgate stm"
"597",2011,"Birmingham","claythorn avenue"
"598",2011,"Birmingham","college road"
"599",2011,"Birmingham","colmore row"
"600",2011,"Birmingham","colmore row birmingham"
"601",2011,"Birmingham","constitution hill birmingham"
"602",2011,"Birmingham","corparation street birmingham"
"603",2011,"Birmingham","corporation st"
"604",2011,"Birmingham","corporation street birmingham"
"605",2011,"Birmingham","corporation street city centre"
"606",2011,"Birmingham","coventry entrance bcfc"
"607",2011,"Birmingham","coventry road birmingham city fc"
"608",2011,"Birmingham","dale end"
"609",2011,"Birmingham","dale end birmingham"
"610",2011,"Birmingham","dale end city centre"
"611",2011,"Birmingham","ddora road  handsworth"
"612",2011,"Birmingham","digbeth"
"613",2011,"Birmingham","digbeth coad station"
"614",2011,"Birmingham","digbeth high street city centre"
"615",2011,"Birmingham","dudley road"
"616",2011,"Birmingham","edgbaston st"
"617",2011,"Birmingham","edgbaston street"
"618",2011,"Birmingham","edmund street"
"619",2011,"Birmingham","ernest street city centre birmingham"
"620",2011,"Birmingham","essex st"
"621",2011,"Birmingham","essex street (aston)"
"622",2011,"Birmingham","essex street birmingham"
